obs,Localtime,EURCHFClose_bid,EURCHFClose_ask,EURGBPClose_bid,EURGBPClose_ask,GBPCHFClose_bid,GBPCHFClose_ask,uhat1_2009_2010,uhat2_2009_2010,uhat3_2009_2010,EC1_2009_2010,uhat1_2013_2014,uhat2_2013_2014,uhat3_2013_2014,EC1_2013_2014,uhat1_2015_2016,uhat2_2015_2016,uhat3_2015_2016,EC1_2015_2016,uhat1_2017_2018,uhat2_2017_2018,uhat3_2017_2018,EC1_2017_2018
2008-12-29,"28.12.2008 22:00:00.000 GMT-0000",1.4789,1.47945,0.96735,0.96775,1.52795,1.52905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-12-30,"29.12.2008 22:00:00.000 GMT-0000",1.4898,1.4903,0.9755,0.97585,1.52685,1.52785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-12-31,"30.12.2008 22:00:00.000 GMT-0000",1.49326,1.49392,0.95455,0.95515,1.563,1.5646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-01,"31.12.2008 22:00:00.000 GMT-0000",1.49023,1.49087,0.95615,0.95675,1.55681,1.55841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-02,"01.01.2009 22:00:00.000 GMT-0000",1.50225,1.50345,0.9565,0.95715,1.5724,1.5737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-05,"04.01.2009 22:00:00.000 GMT-0000",1.5119,1.5123,0.92725,0.9276,1.62955,1.63055,NA,NA,NA,-1.43159171236737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-06,"05.01.2009 22:00:00.000 GMT-0000",1.50765,1.50805,0.90715,0.9075,1.6612,1.6622,NA,NA,NA,-1.42266351254422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-07,"06.01.2009 22:00:00.000 GMT-0000",1.50265,1.50305,0.9034,0.9038,1.66265,1.663,-0.00122431624349395,-0.00193748326651133,-0.000329957742648546,-1.42083275269125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-08,"07.01.2009 22:00:00.000 GMT-0000",1.4974,1.49785,0.9003,0.9008,1.6624,1.6633,0.00870483511163916,0.00809407889545266,0.000925329946206754,-1.42039756144991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-09,"08.01.2009 22:00:00.000 GMT-0000",1.50005,1.5005,0.88785,0.8886,1.68745,1.6889,0.00212504965616966,0.0248715717000325,-0.0124236378743329,-1.42089127068059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-12,"11.01.2009 22:00:00.000 GMT-0000",1.4893,1.48975,0.9015,0.90195,1.65175,1.6528,-0.00741759659985713,-0.0280704993888412,0.0108416609462256,-1.42003706631551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-01-13,"12.01.2009 22:00:00.000 GMT-0000",1.47505,1.4753,0.90885,0.9094,1.6218,1.6232,-0.00474894841953483,-0.0241918731838426,0.0108095022152233,-1.42187791738135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
